month,median_mm,std_mm,p25,p75,tmax_median,tmin_median,month_num,site_code,site_name,state,lat,lon
Jan,35.35,41.542619161213445,18.1,61.45,33.0,17.55,1,NW,Wagga Wagga,NSW,-35.119,147.368
Feb,30.45,46.19623801152116,14.399999999999999,55.15,31.6,17.0,2,NW,Wagga Wagga,NSW,-35.119,147.368
Mar,33.3,42.01388669927269,13.2,48.875,28.2,13.8,3,NW,Wagga Wagga,NSW,-35.119,147.368
Apr,27.1,28.08467731382625,13.4,63.0,23.5,9.2,4,NW,Wagga Wagga,NSW,-35.119,147.368
May,29.4,32.00629171658934,24.0,47.85,18.1,5.7,5,NW,Wagga Wagga,NSW,-35.119,147.368
Jun,48.8,26.18360306601665,34.85,63.0,14.4,4.15,6,NW,Wagga Wagga,NSW,-35.119,147.368
Jul,42.35,24.399095750463477,32.1,61.425,13.45,3.3,7,NW,Wagga Wagga,NSW,-35.119,147.368
Aug,45.5,25.979618365364452,26.275,61.025000000000006,14.9,3.5,8,NW,Wagga Wagga,NSW,-35.119,147.368
Sep,38.25,33.4996240700433,23.700000000000003,57.2,18.2,5.0,9,NW,Wagga Wagga,NSW,-35.119,147.368
Oct,34.2,38.73126940788959,19.924999999999997,70.625,22.4,7.8,10,NW,Wagga Wagga,NSW,-35.119,147.368
Nov,42.05,43.745305324890744,28.0,76.5,26.8,11.8,11,NW,Wagga Wagga,NSW,-35.119,147.368
Dec,38.45,34.654563223739586,23.85,58.300000000000004,30.2,14.350000000000001,12,NW,Wagga Wagga,NSW,-35.119,147.368
Jan,37.9,43.32734673441894,21.6,64.9,31.6,15.7,1,NY,Young,NSW,-34.311,148.3
Feb,36.199999999999996,46.607012546808065,27.575000000000003,80.9,30.1,14.9,2,NY,Young,NSW,-34.311,148.3
Mar,36.9,47.406725099612515,11.4,65.4,26.8,12.2,3,NY,Young,NSW,-34.311,148.3
Apr,28.3,54.68159756535526,11.375,56.2,22.2,7.4,4,NY,Young,NSW,-34.311,148.3
May,37.55,35.4751622834545,21.9,51.275000000000006,17.2,3.55,5,NY,Young,NSW,-34.311,148.3
Jun,54.5,36.73532495870626,42.25,83.60000000000001,13.4,2.5,6,NY,Young,NSW,-34.311,148.3
Jul,60.45,39.10807332619427,40.025,90.4,12.350000000000001,1.2,7,NY,Young,NSW,-34.311,148.3
Aug,56.25,34.58243142521731,31.224999999999998,76.82499999999999,13.7,1.5,8,NY,Young,NSW,-34.311,148.3
Sep,43.75,44.35714477212342,28.725,86.3,17.2,3.2,9,NY,Young,NSW,-34.311,148.3
Oct,47.900000000000006,40.2255043872486,21.6,82.8,21.2,6.2,10,NY,Young,NSW,-34.311,148.3
