site_code,annual_median_mm,apr_oct_mm,mean_cv,site_name,state,lat,lon,environment_group
NC,531.3,315.6,0.9720885308611683,Cootamundra,NSW,-34.642,148.028,Southern NSW
NW,445.2,265.6,0.9760438439335227,Wagga Wagga,NSW,-35.119,147.368,Southern NSW
NWY,373.7,218.85,1.2317943928249109,West Wyalong,NSW,-33.93,147.223,Southern NSW
NY,542.25,328.7,1.0379429366863884,Young,NSW,-34.311,148.3,Southern NSW
VD,326.5,237.45,0.9920205337894274,Dimboola,VIC,-36.451,141.904,Victoria
VH,352.1,249.25,0.9011143712823361,Horsham,VIC,-36.711,142.199,Victoria
VMU,338.3,239.95,0.9526771335560812,Murtoa,VIC,-36.613,142.47,Victoria
VNA,342.55,247.0,0.9300676778561537,Natimuk,VIC,-36.73,142.001,Victoria
VSA,373.2,268.15,1.1150454441252815,St Arnaud,VIC,-36.62,143.258,Victoria
VSL,235.9,158.9,1.2647331174991279,Sea Lake,VIC,-35.503,142.859,Victoria
WD,343.75,334.15,0.7131456221030736,Dongara,WA,-29.257,114.934,Western Australia
WK,382.0,331.15000000000003,0.9112788329055534,Katanning,WA,-33.692,117.556,Western Australia
WMR,277.1,221.65,1.3418892950371646,Merredin,WA,-31.482,118.276,Western Australia
WR,350.1,245.4,1.281632871787222,Ravensthorpe,WA,-33.581,120.049,Western Australia
WT,276.25,248.55,1.5344103663391522,Three Springs,WA,-29.538,115.769,Western Australia
